date,count
2020-03-19,1
2020-03-23,1
2020-03-24,6
2020-03-27,3
2020-03-28,1
2020-03-30,2
2020-03-31,2
2020-04-01,7
2020-04-02,1
2020-04-06,1
2020-04-13,1
2020-04-14,1
2020-05-08,1
2020-05-09,3
2020-05-11,1
2020-05-12,3
2020-05-13,1
2020-05-14,1
2020-05-15,6
2020-05-16,1
2020-05-17,3
2020-05-18,2
2020-05-21,3
2020-05-22,1
2020-05-26,1
2020-05-27,1
2020-05-28,1
2020-06-02,1
2020-06-22,10
2020-06-24,1
2020-06-25,1
2020-06-26,1
2020-06-30,3
2020-07-01,1
2020-07-02,1
2020-07-06,7
2020-07-08,1
2020-07-13,7
2020-07-16,1
2020-07-17,1
2020-07-19,2
2020-07-20,1
2020-07-21,1
2020-07-22,1
2020-07-23,1
2020-07-24,3
2020-07-27,4
2020-07-28,2
2020-07-29,1
2020-07-30,1
2020-08-01,1
2020-08-02,1
2020-08-03,2
2020-08-04,7
2020-08-06,3
2020-08-07,1
2020-08-11,3
2020-08-12,1
2020-08-13,1
2020-08-17,1
2020-08-18,2
2020-08-19,1
2020-08-20,1
2020-08-21,1
2020-08-24,1
2020-08-25,1
2020-08-26,2
2020-08-27,2
2020-08-28,4
2020-08-31,9
2020-09-03,2
2020-09-04,6
2020-09-08,2
2020-09-22,3
2020-09-23,1
2020-09-25,2
2020-09-28,1
2020-09-30,1
2020-10-01,1
2020-10-05,3
2020-10-06,1
2020-10-09,2
2020-10-12,5
2020-10-16,5
2020-10-19,1
2020-10-20,1
2020-10-21,1
2020-10-23,2
2020-10-27,1
2020-10-29,1
2020-11-03,2
2020-11-04,1
2020-11-05,1
2020-11-06,3
2020-11-07,1
2020-11-09,5
2020-11-10,6
2020-11-11,4
2020-11-12,4
2020-11-13,4
2020-11-16,7
2020-11-17,6
2020-11-18,18
2020-11-19,11
2020-11-20,10
2020-11-21,2
2020-11-22,4
2020-11-23,9
2020-11-24,1
2020-11-25,8
2020-11-26,1
2020-11-27,5
2020-11-28,1
2020-11-29,15
2020-11-30,15
2020-12-01,22
2020-12-02,9
2020-12-03,9
2020-12-04,18
2020-12-06,19
2020-12-07,12
2020-12-08,23
2020-12-09,7
2020-12-10,6
2020-12-11,4
2020-12-13,3
2020-12-14,8
2020-12-15,7
2020-12-16,2
2020-12-17,8
2020-12-18,19
2020-12-19,2
2020-12-20,3
2020-12-21,8
2020-12-22,13
2020-12-23,7
2020-12-24,3
2020-12-26,5
2020-12-27,3
2020-12-28,27
2020-12-29,13
2020-12-30,17
2020-12-31,9
2021-01-03,1
2021-01-04,12
2021-01-05,15
2021-01-06,8
2021-01-07,3
2021-01-08,7
2021-01-09,1
2021-01-10,1
2021-01-11,16
2021-01-12,10
2021-01-13,20
2021-01-14,18
2021-01-15,9
2021-01-16,2
2021-01-17,1
2021-01-18,1
2021-01-19,12
2021-01-20,8
2021-01-21,3
2021-01-22,8
2021-01-23,1
2021-01-25,10
2021-01-26,12
2021-01-27,5
2021-01-28,10
